Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta
3.9392624686125135,3.7594390466456966,3.3445287071023526,4.540772527316768,3.863879952986195,3.9473684167243768,5.262419000796524,3.879912659519746,3.906852244211079,3.9213973756316634
4.569114465908084,4.432723353678447,4.045602601470573,5.192680295809817,4.501607712216926,4.6024096335132425,5.936216209798685,4.503791977785707,4.537313427998599,4.581420760020305
5.245670989993863,5.076673860608343,4.661605201017782,5.820043097176677,5.1489817736881225,5.252735224012325,6.581621614506355,5.161987035462217,5.186170207248755,5.235294111944124
5.914870683281389,5.692060079729549,5.272138223248231,6.508090607866137,5.812030068945188,5.878688518165368,7.229189181373849,5.803667739154619,5.8678038316974375,5.87960953809153
6.520386259098298,6.297326196473448,5.926724131544479,7.1659435930955055,6.432692300819773,6.442162155197662,7.809012867157712,6.458646609604032,6.526147271583621,6.516233759181565
7.088770045894363,6.980707388016391,6.543689313329353,7.809061480249125,7.081370442097033,7.059203436965335,8.458557579700154,7.070588227731991,7.171276588115664,7.178571420802412
7.741728913829531,7.611764697741428,7.1745181936033,8.435016102647673,7.752411567253578,7.652733110768775,9.097639475217123,7.757250260196294,7.788522839757149,7.810810802366691
8.359658475603354,8.199999991276595,7.820704367320486,9.097744351130242,8.34468084218651,8.281283413602905,9.719786085861193,8.443487612009163,8.373940669095402,8.35515020562752
8.915254227844011,8.817409757094046,8.432835811905292,9.708021379991422,8.926160328136962,8.942122176910908,10.28738068898475,9.052688162308938,8.986257918619177,9.009646292594162
9.453684200575069,9.487261136425412,9.025531905291988,10.346895063868422,9.559196607231293,9.539529904338108,10.809473672832134,9.6374331447728,9.616279059602242,9.631410246120288
10.05555554501514,10.170212755138072,9.572938679098373,10.927659562842916,10.204232793434674,10.1372340317689,11.44631577742493,10.24174652796406,10.243128953231365,10.203605503495648
10.675732206406138,10.761399776499044,10.202116391320512,11.487856376464777,10.87288134441432,10.716701891419977,12.0503672486355,10.83209350602328,10.8514225386181,10.776606943333396
